Freq(Hz)	RL(%)
8942875000.0	95.9993622144
8945500000.0	96.727008323
8948125000.0	96.2399137906
8950750000.0	97.2549365613
8953375000.0	96.7483995962
8956000000.0	96.5301161405
8958625000.0	95.9775217862
8961250000.0	96.8340005082
8963875000.0	97.8947882024
8966500000.0	96.9481465246
8969125000.0	97.1123083797
8971750000.0	96.9877668113
8974375000.0	96.5969243773
8977000000.0	97.0544197939
8979625000.0	96.7589121055
8982250000.0	96.2013277219
8984875000.0	96.1028415722
8987500000.0	95.5820485909
8990125000.0	96.11985908
8992750000.0	95.8647148229
8995375000.0	96.4341255975
8998000000.0	95.4217082848
9000625000.0	94.8783696864
9003250000.0	95.4382546716
9005875000.0	95.7843949373
9008500000.0	96.597195765
9011125000.0	95.0472854639
9013750000.0	94.229378971
9016375000.0	95.1632860796
9019000000.0	95.7906203499
9021625000.0	93.6376995692
9024250000.0	95.3048590256
9026875000.0	96.0075494651
9029500000.0	95.979008168
9032125000.0	94.9053632717
9034750000.0	94.9142065944
9037375000.0	95.668840598
9040000000.0	95.4613787077
9042625000.0	95.7252751565
9045250000.0	95.256501623
9047875000.0	95.5375874535
9050500000.0	95.2386715562
9053125000.0	95.643244903
9055750000.0	94.9890451747
9058375000.0	94.8626937903
9061000000.0	96.3922264183
9063625000.0	96.6861507508
9066250000.0	96.0350606832
9068875000.0	96.0315726865
9071500000.0	95.800920058
9074125000.0	95.7551605553
9076750000.0	95.1173427189
9079375000.0	95.8842194542
9082000000.0	96.1861760952
9084625000.0	96.9557394083
9087250000.0	96.9376153097
9089875000.0	95.1421530427
9092500000.0	96.3354321808
9095125000.0	95.3566309445
9097750000.0	96.0426016905
9100375000.0	96.2092483468
9103000000.0	95.1997310432
9105625000.0	95.6788285678
9108250000.0	96.7470087892
9110875000.0	96.3295555329
9113500000.0	95.2840638071
9116125000.0	96.7677539049
9118750000.0	96.2205432714
9121375000.0	95.8364922582
9124000000.0	95.6558802399
9126625000.0	96.3132165727
9129250000.0	95.1137399533
9131875000.0	97.4093589686
9134500000.0	94.4009214406
9137125000.0	96.3396581241
9139750000.0	95.285106549
9142375000.0	95.8480442363
9145000000.0	94.3627473848
9147625000.0	95.8531534077
9150250000.0	95.8274987475
9152875000.0	94.5341229617
9155500000.0	95.4846987052
9158125000.0	95.4293426794
9160750000.0	96.3426015365
9163375000.0	96.1318625048
9166000000.0	96.2585304728
9168625000.0	96.368078293
9171250000.0	95.9675144762
9173875000.0	96.7876590141
9176500000.0	96.480397134
9179125000.0	97.0978171226
9181750000.0	95.8019549272
9184375000.0	95.4631634725
9187000000.0	96.3724457973
9189625000.0	96.1086358104
9192250000.0	95.3098456723
9194875000.0	95.5420822559
9197500000.0	95.5858923025
9200125000.0	95.5227522481
9202750000.0	96.1194173138
9205375000.0	95.2625860112
9208000000.0	95.0926541268
9210625000.0	96.5307830863
9213250000.0	95.3749311113
9215875000.0	96.5261561709
9218500000.0	95.5185308671
9221125000.0	95.8510463601
9223750000.0	95.5836434181
9226375000.0	96.8365570452
9229000000.0	96.3836255233
9231625000.0	96.7456097211
9234250000.0	95.5570104933
9236875000.0	95.4104034468
9239500000.0	95.6243392032
9242125000.0	95.2525767898
9244750000.0	96.3076588754
9247375000.0	94.5606568242
9250000000.0	95.4648259176
9252625000.0	95.6299813692
9255250000.0	96.0580205674
9257875000.0	95.3874532529
9260500000.0	95.5803535491
9263125000.0	94.9676173581
9265750000.0	95.4496495649
9268375000.0	94.8191355286
9271000000.0	95.6216000555
9273625000.0	95.4352069282
9276250000.0	94.74041166
9278875000.0	96.3780040066
9281500000.0	96.1155295499
9284125000.0	96.1349851141
9286750000.0	94.9563295645
