

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_14_23-04-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 177	 1 min	19:37 14.01.08	19:38 14.01.08	0000000037	0.617 	0.402  
 178	 1 min	19:38 14.01.08	19:39 14.01.08	0000000034	0.567 	0.369  
 179	 1 min	19:39 14.01.08	19:40 14.01.08	0000000038	0.633 	0.413  
 180	 1 min	19:40 14.01.08	19:41 14.01.08	0000000045	0.750 	0.489  
 181	 1 min	19:41 14.01.08	19:42 14.01.08	0000000033	0.550 	0.358  
 182	 1 min	19:42 14.01.08	19:43 14.01.08	0000000019	0.317 	0.206  
 183	 1 min	19:43 14.01.08	19:44 14.01.08	0000000031	0.517 	0.337  
 184	 1 min	19:44 14.01.08	19:45 14.01.08	0000000027	0.450 	0.293  
 185	 1 min	19:45 14.01.08	19:46 14.01.08	0000000027	0.450 	0.293  
 186	 1 min	19:46 14.01.08	19:47 14.01.08	0000000030	0.500 	0.326  
 187	 1 min	19:47 14.01.08	19:48 14.01.08	0000000032	0.533 	0.347  
 188	 1 min	19:48 14.01.08	19:49 14.01.08	0000000027	0.450 	0.293  
 189	 1 min	19:49 14.01.08	19:50 14.01.08	0000000023	0.383 	0.250  
 190	 1 min	19:50 14.01.08	19:51 14.01.08	0000000042	0.700 	0.456  
 191	 1 min	19:51 14.01.08	19:52 14.01.08	0000000037	0.617 	0.402  
 192	 1 min	19:52 14.01.08	19:53 14.01.08	0000000030	0.500 	0.326  
 193	 1 min	19:53 14.01.08	19:54 14.01.08	0000000033	0.550 	0.358  
 194	 1 min	19:54 14.01.08	19:55 14.01.08	0000000036	0.600 	0.391  
 195	 1 min	19:55 14.01.08	19:56 14.01.08	0000000035	0.583 	0.380  
 196	 1 min	19:56 14.01.08	19:57 14.01.08	0000000037	0.617 	0.402  
 197	 1 min	19:57 14.01.08	19:58 14.01.08	0000000030	0.500 	0.326  
 198	 1 min	19:58 14.01.08	19:59 14.01.08	0000000032	0.533 	0.347  
 199	 1 min	19:59 14.01.08	20:00 14.01.08	0000000036	0.600 	0.391  
 200	 1 min	20:00 14.01.08	20:01 14.01.08	0000000034	0.567 	0.369  
 201	 1 min	20:01 14.01.08	20:02 14.01.08	0000000032	0.533 	0.347  
 202	 1 min	20:02 14.01.08	20:03 14.01.08	0000000027	0.450 	0.293  
 203	 1 min	20:03 14.01.08	20:04 14.01.08	0000000039	0.650 	0.423  
 204	 1 min	20:04 14.01.08	20:05 14.01.08	0000000033	0.550 	0.358  
 205	 1 min	20:05 14.01.08	20:06 14.01.08	0000000033	0.550 	0.358  
 206	 1 min	20:06 14.01.08	20:07 14.01.08	0000000037	0.617 	0.402  
 207	 1 min	20:07 14.01.08	20:08 14.01.08	0000000035	0.583 	0.380  
 208	 1 min	20:08 14.01.08	20:09 14.01.08	0000000040	0.667 	0.434  
 209	 1 min	20:09 14.01.08	20:10 14.01.08	0000000026	0.433 	0.282  
 210	 1 min	20:10 14.01.08	20:11 14.01.08	0000000033	0.550 	0.358  
 211	 1 min	20:11 14.01.08	20:12 14.01.08	0000000033	0.550 	0.358  
 212	 1 min	20:12 14.01.08	20:13 14.01.08	0000000028	0.467 	0.304  
 213	 1 min	20:13 14.01.08	20:14 14.01.08	0000000041	0.683 	0.445  
 214	 1 min	20:14 14.01.08	20:15 14.01.08	0000000024	0.400 	0.261  
 215	 1 min	20:15 14.01.08	20:16 14.01.08	0000000028	0.467 	0.304  
 216	 1 min	20:16 14.01.08	20:17 14.01.08	0000000031	0.517 	0.337  
 217	 1 min	20:17 14.01.08	20:18 14.01.08	0000000023	0.383 	0.250  
 218	 1 min	20:18 14.01.08	20:19 14.01.08	0000000034	0.567 	0.369  
 219	 1 min	20:19 14.01.08	20:20 14.01.08	0000000030	0.500 	0.326  
 220	 1 min	20:20 14.01.08	20:21 14.01.08	0000000035	0.583 	0.380  
 221	 1 min	20:21 14.01.08	20:22 14.01.08	0000000031	0.517 	0.337  
 222	 1 min	20:22 14.01.08	20:23 14.01.08	0000000026	0.433 	0.282  
 223	 1 min	20:23 14.01.08	20:24 14.01.08	0000000024	0.400 	0.261  
 224	 1 min	20:24 14.01.08	20:25 14.01.08	0000000028	0.467 	0.304  
 225	 1 min	20:25 14.01.08	20:26 14.01.08	0000000032	0.533 	0.347  
 226	 1 min	20:26 14.01.08	20:27 14.01.08	0000000030	0.500 	0.326  
 227	 1 min	20:27 14.01.08	20:28 14.01.08	0000000040	0.667 	0.434  
 228	 1 min	20:28 14.01.08	20:29 14.01.08	0000000032	0.533 	0.347  
 229	 1 min	20:29 14.01.08	20:30 14.01.08	0000000043	0.717 	0.467  
 230	 1 min	20:30 14.01.08	20:31 14.01.08	0000000030	0.500 	0.326  
 231	 1 min	20:31 14.01.08	20:32 14.01.08	0000000034	0.567 	0.369  
 232	 1 min	20:32 14.01.08	20:33 14.01.08	0000000023	0.383 	0.250  
 233	 1 min	20:33 14.01.08	20:34 14.01.08	0000000029	0.483 	0.315  
 234	 1 min	20:34 14.01.08	20:35 14.01.08	0000000043	0.717 	0.467  
 235	 1 min	20:35 14.01.08	20:36 14.01.08	0000000023	0.383 	0.250  
 236	 1 min	20:36 14.01.08	20:37 14.01.08	0000000042	0.700 	0.456  
 237	 1 min	20:37 14.01.08	20:38 14.01.08	0000000030	0.500 	0.326  
 238	 1 min	20:38 14.01.08	20:39 14.01.08	0000000029	0.483 	0.315  
 239	 1 min	20:39 14.01.08	20:40 14.01.08	0000000029	0.483 	0.315  
 240	 1 min	20:40 14.01.08	20:41 14.01.08	0000000032	0.533 	0.347  
 241	 1 min	20:41 14.01.08	20:42 14.01.08	0000000025	0.417 	0.271  
 242	 1 min	20:42 14.01.08	20:43 14.01.08	0000000037	0.617 	0.402  
 243	 1 min	20:43 14.01.08	20:44 14.01.08	0000000029	0.483 	0.315  
 244	 1 min	20:44 14.01.08	20:45 14.01.08	0000000029	0.483 	0.315  
 245	 1 min	20:45 14.01.08	20:46 14.01.08	0000000038	0.633 	0.413  
 246	 1 min	20:46 14.01.08	20:47 14.01.08	0000000033	0.550 	0.358  
 247	 1 min	20:47 14.01.08	20:48 14.01.08	0000000038	0.633 	0.413  
 248	 1 min	20:48 14.01.08	20:49 14.01.08	0000000024	0.400 	0.261  
 249	 1 min	20:49 14.01.08	20:50 14.01.08	0000000040	0.667 	0.434  
 250	 1 min	20:50 14.01.08	20:51 14.01.08	0000000034	0.567 	0.369  
 251	 1 min	20:51 14.01.08	20:52 14.01.08	0000000029	0.483 	0.315  
 252	 1 min	20:52 14.01.08	20:53 14.01.08	0000000034	0.567 	0.369  
 253	 1 min	20:53 14.01.08	20:54 14.01.08	0000000040	0.667 	0.434  
 254	 1 min	20:54 14.01.08	20:55 14.01.08	0000000035	0.583 	0.380  
 255	 1 min	20:55 14.01.08	20:56 14.01.08	0000000023	0.383 	0.250  
 256	 1 min	20:56 14.01.08	20:57 14.01.08	0000000038	0.633 	0.413  
 257	 1 min	20:57 14.01.08	20:58 14.01.08	0000000041	0.683 	0.445  
 258	 1 min	20:58 14.01.08	20:59 14.01.08	0000000037	0.617 	0.402  
 259	 1 min	20:59 14.01.08	21:00 14.01.08	0000000028	0.467 	0.304  
 260	 1 min	21:00 14.01.08	21:01 14.01.08	0000000032	0.533 	0.347  
 261	 1 min	21:01 14.01.08	21:02 14.01.08	0000000032	0.533 	0.347  
 262	 1 min	21:02 14.01.08	21:03 14.01.08	0000000031	0.517 	0.337  
 263	 1 min	21:03 14.01.08	21:04 14.01.08	0000000027	0.450 	0.293  
 264	 1 min	21:04 14.01.08	21:05 14.01.08	0000000036	0.600 	0.391  
 265	 1 min	21:05 14.01.08	21:06 14.01.08	0000000031	0.517 	0.337  
 266	 1 min	21:06 14.01.08	21:07 14.01.08	0000000037	0.617 	0.402  
 267	 1 min	21:07 14.01.08	21:08 14.01.08	0000000028	0.467 	0.304  
 268	 1 min	21:08 14.01.08	21:09 14.01.08	0000000030	0.500 	0.326  
 269	 1 min	21:09 14.01.08	21:10 14.01.08	0000000034	0.567 	0.369  
 270	 1 min	21:10 14.01.08	21:11 14.01.08	0000000030	0.500 	0.326  
 271	 1 min	21:11 14.01.08	21:12 14.01.08	0000000024	0.400 	0.261  
 272	 1 min	21:12 14.01.08	21:13 14.01.08	0000000032	0.533 	0.347  
 273	 1 min	21:13 14.01.08	21:14 14.01.08	0000000036	0.600 	0.391  
 274	 1 min	21:14 14.01.08	21:15 14.01.08	0000000036	0.600 	0.391  
 275	 1 min	21:15 14.01.08	21:16 14.01.08	0000000033	0.550 	0.358  
 276	 1 min	21:16 14.01.08	21:17 14.01.08	0000000027	0.450 	0.293  
 277	 1 min	21:17 14.01.08	21:18 14.01.08	0000000038	0.633 	0.413  
 278	 1 min	21:18 14.01.08	21:19 14.01.08	0000000038	0.633 	0.413  
 279	 1 min	21:19 14.01.08	21:20 14.01.08	0000000026	0.433 	0.282  
 280	 1 min	21:20 14.01.08	21:21 14.01.08	0000000024	0.400 	0.261  
 281	 1 min	21:21 14.01.08	21:22 14.01.08	0000000031	0.517 	0.337  
 282	 1 min	21:22 14.01.08	21:23 14.01.08	0000000031	0.517 	0.337  
