

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_09_23-55-55.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 201	10 min	22:07 05.12.09	22:17 05.12.09	0000000297	0.495 	0.322  
 202	10 min	22:17 05.12.09	22:27 05.12.09	0000000313	0.522 	0.340  
 203	10 min	22:27 05.12.09	22:37 05.12.09	0000000292	0.487 	0.317  
 204	10 min	22:37 05.12.09	22:47 05.12.09	0000000317	0.528 	0.344  
 205	10 min	22:47 05.12.09	22:57 05.12.09	0000000303	0.505 	0.329  
 206	10 min	22:57 05.12.09	23:07 05.12.09	0000000332	0.553 	0.360  
 207	10 min	23:07 05.12.09	23:17 05.12.09	0000000295	0.492 	0.320  
 208	10 min	23:17 05.12.09	23:27 05.12.09	0000000303	0.505 	0.329  
 209	10 min	23:27 05.12.09	23:37 05.12.09	0000000321	0.535 	0.349  
 210	10 min	23:37 05.12.09	23:47 05.12.09	0000000322	0.537 	0.350  
 211	10 min	23:47 05.12.09	23:57 05.12.09	0000000270	0.450 	0.293  
 212	10 min	23:57 05.12.09	00:07 06.12.09	0000000339	0.565 	0.368  
 213	10 min	00:07 06.12.09	00:17 06.12.09	0000000333	0.555 	0.362  
 214	10 min	00:17 06.12.09	00:27 06.12.09	0000000282	0.470 	0.306  
 215	10 min	00:27 06.12.09	00:37 06.12.09	0000000317	0.528 	0.344  
 216	10 min	00:37 06.12.09	00:47 06.12.09	0000000325	0.542 	0.353  
 217	10 min	00:47 06.12.09	00:57 06.12.09	0000000305	0.508 	0.331  
 218	10 min	00:57 06.12.09	01:07 06.12.09	0000000338	0.563 	0.367  
 219	10 min	01:07 06.12.09	01:17 06.12.09	0000000329	0.548 	0.357  
 220	10 min	01:17 06.12.09	01:27 06.12.09	0000000299	0.498 	0.325  
 221	10 min	01:27 06.12.09	01:37 06.12.09	0000000339	0.565 	0.368  
 222	10 min	01:37 06.12.09	01:47 06.12.09	0000000305	0.508 	0.331  
 223	10 min	01:47 06.12.09	01:57 06.12.09	0000000304	0.507 	0.330  
 224	10 min	01:57 06.12.09	02:07 06.12.09	0000000317	0.528 	0.344  
 225	10 min	02:07 06.12.09	02:17 06.12.09	0000000309	0.515 	0.336  
 226	10 min	02:17 06.12.09	02:27 06.12.09	0000000294	0.490 	0.319  
 227	10 min	02:27 06.12.09	02:37 06.12.09	0000000309	0.515 	0.336  
 228	10 min	02:37 06.12.09	02:47 06.12.09	0000000343	0.572 	0.372  
 229	10 min	02:47 06.12.09	02:57 06.12.09	0000000305	0.508 	0.331  
 230	10 min	02:57 06.12.09	03:07 06.12.09	0000000305	0.508 	0.331  
 231	10 min	03:07 06.12.09	03:17 06.12.09	0000000285	0.475 	0.309  
 232	10 min	03:17 06.12.09	03:27 06.12.09	0000000330	0.550 	0.358  
 233	10 min	03:27 06.12.09	03:37 06.12.09	0000000291	0.485 	0.316  
 234	10 min	03:37 06.12.09	03:47 06.12.09	0000000323	0.538 	0.351  
 235	10 min	03:47 06.12.09	03:57 06.12.09	0000000340	0.567 	0.369  
 236	10 min	03:57 06.12.09	04:07 06.12.09	0000000304	0.507 	0.330  
 237	10 min	04:07 06.12.09	04:17 06.12.09	0000000335	0.558 	0.364  
 238	10 min	04:17 06.12.09	04:27 06.12.09	0000000328	0.547 	0.356  
 239	10 min	04:27 06.12.09	04:37 06.12.09	0000000324	0.540 	0.352  
 240	10 min	04:37 06.12.09	04:47 06.12.09	0000000307	0.512 	0.333  
 241	10 min	04:47 06.12.09	04:57 06.12.09	0000000337	0.562 	0.366  
 242	10 min	04:57 06.12.09	05:07 06.12.09	0000000321	0.535 	0.349  
 243	10 min	05:07 06.12.09	05:17 06.12.09	0000000298	0.497 	0.324  
 244	10 min	05:17 06.12.09	05:27 06.12.09	0000000307	0.512 	0.333  
 245	10 min	05:27 06.12.09	05:37 06.12.09	0000000321	0.535 	0.349  
 246	10 min	05:37 06.12.09	05:47 06.12.09	0000000304	0.507 	0.330  
 247	10 min	05:47 06.12.09	05:57 06.12.09	0000000321	0.535 	0.349  
 248	10 min	05:57 06.12.09	06:07 06.12.09	0000000287	0.478 	0.312  
 249	10 min	06:07 06.12.09	06:17 06.12.09	0000000332	0.553 	0.360  
 250	10 min	06:17 06.12.09	06:27 06.12.09	0000000317	0.528 	0.344  
 251	10 min	06:27 06.12.09	06:37 06.12.09	0000000313	0.522 	0.340  
 252	10 min	06:37 06.12.09	06:47 06.12.09	0000000307	0.512 	0.333  
 253	10 min	06:47 06.12.09	06:57 06.12.09	0000000277	0.462 	0.301  
 254	10 min	06:57 06.12.09	07:07 06.12.09	0000000306	0.510 	0.332  
 255	10 min	07:07 06.12.09	07:17 06.12.09	0000000298	0.497 	0.324  
 256	10 min	07:17 06.12.09	07:27 06.12.09	0000000293	0.488 	0.318  
 257	10 min	07:27 06.12.09	07:37 06.12.09	0000000298	0.497 	0.324  
 258	10 min	07:37 06.12.09	07:47 06.12.09	0000000325	0.542 	0.353  
 259	10 min	07:47 06.12.09	07:57 06.12.09	0000000298	0.497 	0.324  
 260	10 min	07:57 06.12.09	08:07 06.12.09	0000000343	0.572 	0.372  
 261	10 min	08:07 06.12.09	08:17 06.12.09	0000000331	0.552 	0.359  
 262	10 min	08:17 06.12.09	08:27 06.12.09	0000000297	0.495 	0.322  
 263	10 min	08:27 06.12.09	08:37 06.12.09	0000000310	0.517 	0.337  
 264	10 min	08:37 06.12.09	08:47 06.12.09	0000000308	0.513 	0.334  
 265	10 min	08:47 06.12.09	08:57 06.12.09	0000000314	0.523 	0.341  
 266	10 min	08:57 06.12.09	09:07 06.12.09	0000000329	0.548 	0.357  
 267	10 min	09:07 06.12.09	09:17 06.12.09	0000000322	0.537 	0.350  
 268	10 min	09:17 06.12.09	09:27 06.12.09	0000000354	0.590 	0.384  
 269	10 min	09:27 06.12.09	09:37 06.12.09	0000000311	0.518 	0.338  
 270	10 min	09:37 06.12.09	09:47 06.12.09	0000000320	0.533 	0.347  
 271	10 min	09:47 06.12.09	09:57 06.12.09	0000000316	0.527 	0.343  
 272	10 min	09:57 06.12.09	10:07 06.12.09	0000000330	0.550 	0.358  
 273	10 min	10:07 06.12.09	10:17 06.12.09	0000000330	0.550 	0.358  
 274	10 min	10:17 06.12.09	10:27 06.12.09	0000000316	0.527 	0.343  
 275	10 min	10:27 06.12.09	10:37 06.12.09	0000000303	0.505 	0.329  
 276	10 min	10:37 06.12.09	10:47 06.12.09	0000000319	0.532 	0.346  
 277	10 min	10:47 06.12.09	10:57 06.12.09	0000000301	0.502 	0.327  
 278	10 min	10:57 06.12.09	11:07 06.12.09	0000000346	0.577 	0.376  
 279	10 min	11:07 06.12.09	11:17 06.12.09	0000000308	0.513 	0.334  
 280	10 min	11:17 06.12.09	11:27 06.12.09	0000000312	0.520 	0.339  
 281	10 min	11:27 06.12.09	11:37 06.12.09	0000000310	0.517 	0.337  
 282	10 min	11:37 06.12.09	11:47 06.12.09	0000000305	0.508 	0.331  
 283	10 min	11:47 06.12.09	11:57 06.12.09	0000000358	0.597 	0.389  
 284	10 min	11:57 06.12.09	12:07 06.12.09	0000000293	0.488 	0.318  
 285	10 min	12:07 06.12.09	12:17 06.12.09	0000000300	0.500 	0.326  
 286	10 min	12:17 06.12.09	12:27 06.12.09	0000000318	0.530 	0.345  
 287	10 min	12:27 06.12.09	12:37 06.12.09	0000000306	0.510 	0.332  
 288	10 min	12:37 06.12.09	12:47 06.12.09	0000000303	0.505 	0.329  
 289	10 min	12:47 06.12.09	12:57 06.12.09	0000000298	0.497 	0.324  
