!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:51:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8710000000,0.44362634,146.22353,0.89385128,-123.81704,0.89130747,-124.04259,0.44637495,146.70654
8712562500,0.44422087,146.18452,0.89350593,-123.99928,0.89125735,-124.15501,0.44657573,146.67047
8715125000,0.44243753,146.16035,0.89398652,-124.06838,0.89279747,-124.11134,0.44506639,146.64668
8717687500,0.44407165,146.03615,0.89412725,-124.01374,0.89407808,-124.19436,0.44517273,146.63123
8720250000,0.4421998,146.32074,0.89447391,-123.95624,0.89284205,-124.11722,0.4451066,146.74289
8722812500,0.44281083,145.92476,0.89512902,-124.07015,0.89086735,-124.27591,0.44434711,146.50137
8725375000,0.44245434,145.90123,0.89688289,-124.23807,0.8938728,-124.30122,0.44599137,146.53754
8727937500,0.44157106,145.8421,0.89636928,-124.26342,0.89320993,-124.50278,0.4436653,146.35947
8730500000,0.44215235,145.7825,0.89522767,-124.4478,0.8940711,-124.58361,0.44297633,146.19398
8733062500,0.44240484,145.74142,0.89749497,-124.37054,0.89373845,-124.51528,0.44380888,146.34135
8735625000,0.440961,145.72496,0.89422315,-124.58128,0.89470714,-124.6034,0.44459262,146.11354
8738187500,0.4400647,145.66826,0.89256901,-124.52148,0.89412719,-124.68135,0.44231722,146.18021
8740750000,0.4401345,145.68169,0.89629096,-124.70647,0.89836884,-124.5388,0.44303715,146.20052
8743312500,0.4383181,145.74881,0.89209944,-124.60162,0.89496952,-124.6469,0.44146204,145.88792
8745875000,0.43914151,145.60483,0.89912975,-124.77742,0.8963775,-124.63355,0.44327998,146.17749
8748437500,0.43850258,145.5078,0.90058178,-124.60594,0.89665186,-124.91335,0.44227448,146.03043
8751000000,0.43677217,145.41862,0.89910525,-124.93322,0.89695418,-124.91632,0.44329706,145.9194
8753562500,0.43664154,145.36029,0.89713824,-124.97745,0.89285636,-125.08979,0.44044402,145.7748
8756125000,0.43616882,145.325,0.89381355,-124.83401,0.89275932,-124.9331,0.4386214,145.83511
8758687500,0.43650848,145.27196,0.89555031,-125.0335,0.89500797,-124.98067,0.43990442,145.68495
8761250000,0.43629894,145.24045,0.89589292,-125.02044,0.89601666,-124.90302,0.43928754,145.68446
8763812500,0.43537372,144.97319,0.89325202,-124.96858,0.89770526,-125.26453,0.43867847,145.63719
8766375000,0.43467045,144.90434,0.89605254,-125.20813,0.89699709,-125.33652,0.43881124,145.59187
8768937500,0.43486035,144.78072,0.89792478,-125.19131,0.89828038,-125.33483,0.43848237,145.5477
8771500000,0.43484056,144.73338,0.89940387,-125.2802,0.89824617,-125.36841,0.43825075,145.44246
8774062500,0.4345046,144.94969,0.89567941,-125.36401,0.89660275,-125.28175,0.43782127,145.42978
8776625000,0.43304738,144.77869,0.8965947,-125.30787,0.89738292,-125.46748,0.43761802,145.45168
8779187500,0.43330285,144.57564,0.89733899,-125.33502,0.89922398,-125.54227,0.43724298,145.37134
8781750000,0.43224978,144.56514,0.89728165,-125.30645,0.89809841,-125.56456,0.43763062,145.3884
8784312500,0.43177858,144.39346,0.89935261,-125.49134,0.89620262,-125.61086,0.43618441,145.31975
8786875000,0.43182775,144.36679,0.89720762,-125.52482,0.89821965,-125.63168,0.43623298,145.2635
8789437500,0.43300793,144.2419,0.89774889,-125.67289,0.90021628,-125.67282,0.43583238,145.29176
8792000000,0.43168727,144.28114,0.8990019,-125.72584,0.90014344,-125.78911,0.43434525,145.1496
8794562500,0.43078914,144.05814,0.89880359,-125.73369,0.89820957,-125.92377,0.43518734,144.98244
8797125000,0.43117055,144.09915,0.89573294,-125.70824,0.8997314,-125.99097,0.43410218,144.9534
8799687500,0.43040714,144.16028,0.90019274,-125.71684,0.89889282,-125.92162,0.43361732,145.18193
8802250000,0.43046144,143.95952,0.89910322,-125.82032,0.89953357,-125.94897,0.43340597,145.01746
8804812500,0.42912501,143.97604,0.89842784,-125.93227,0.90076107,-125.98601,0.43280706,144.73959
8807375000,0.4273915,143.82999,0.900006,-126.05907,0.8994751,-126.0491,0.43382296,144.71196
8809937500,0.42811933,143.87111,0.90158993,-125.97037,0.90066081,-126.16727,0.43296969,144.92339
8812500000,0.42790058,143.85968,0.90142125,-126.15819,0.90248996,-126.10047,0.43437761,144.65094
8815062500,0.42636827,143.65312,0.8972795,-126.1548,0.89576173,-126.19242,0.43048224,144.61589
8817625000,0.42598683,143.63531,0.89866912,-126.30136,0.89730656,-126.44374,0.43248206,144.65709
8820187500,0.42670241,143.57603,0.90125293,-126.21978,0.90213114,-126.35633,0.43155468,144.64809
8822750000,0.42611983,143.53214,0.90076762,-126.20582,0.89993811,-126.26128,0.43059933,144.62379
8825312500,0.42541969,143.49582,0.90036178,-126.33264,0.90301144,-126.20798,0.4299593,144.48668
8827875000,0.42529061,143.54636,0.9032982,-126.19761,0.89865607,-126.37308,0.42929754,144.56415
8830437500,0.42487717,143.32423,0.90091538,-126.32296,0.90104932,-126.56472,0.42908999,144.53233
8833000000,0.42423627,143.19106,0.90313679,-126.35571,0.90381724,-126.67406,0.42791304,144.51088
8835562500,0.42520925,143.20287,0.90072936,-126.31522,0.90111274,-126.49349,0.42759165,144.32246
8838125000,0.42414346,142.99055,0.90198308,-126.60485,0.90402925,-126.61813,0.4274039,144.37498
8840687500,0.4231641,142.98975,0.903207,-126.44352,0.90278357,-126.91753,0.42746034,144.33344
8843250000,0.4230524,142.97318,0.90231824,-126.62576,0.90330327,-126.84317,0.42693305,144.31044
8845812500,0.42142999,142.92719,0.90319163,-126.80598,0.903332,-126.86753,0.42577967,144.17587
8848375000,0.4220157,143.04605,0.90285629,-126.80748,0.90186203,-126.91637,0.42575639,144.13651
8850937500,0.42230529,143.03981,0.90393275,-126.90366,0.90383005,-126.87463,0.42509949,144.05975
8853500000,0.42038462,142.76349,0.90735382,-126.77557,0.90475047,-126.99771,0.42627588,143.85828
8856062500,0.42215279,142.86261,0.90295339,-127.05268,0.90434629,-127.06671,0.42367193,143.94632
8858625000,0.41955334,142.80359,0.90532655,-126.9459,0.90289485,-127.15557,0.42492345,143.70265
8861187500,0.42062888,142.61644,0.90655929,-127.10872,0.90351874,-127.27883,0.42345321,143.55989
8863750000,0.42036498,142.54762,0.90273809,-127.08721,0.90662187,-127.18925,0.42406973,143.8927
8866312500,0.41765225,142.48761,0.90348959,-127.21592,0.90290284,-127.30518,0.42307422,143.66731
8868875000,0.41727874,142.3783,0.90292704,-127.32902,0.90451622,-127.4205,0.42336687,143.51964
8871437500,0.41813222,142.61943,0.90452683,-127.28013,0.90304649,-127.40431,0.42246902,143.56396
8874000000,0.41808653,142.61462,0.90517199,-127.29388,0.90684575,-127.48512,0.42172867,143.43901
8876562500,0.41694644,142.46561,0.90384167,-127.34089,0.90752023,-127.49955,0.42211041,143.39035
8879125000,0.41732222,142.317,0.90516227,-127.41426,0.9046213,-127.6236,0.42168665,143.25209
8881687500,0.41613775,142.20273,0.90818852,-127.55293,0.90415108,-127.69363,0.42333201,143.26831
8884250000,0.41533503,142.06712,0.90503997,-127.49094,0.90054631,-127.75768,0.41975364,143.29839
8886812500,0.41533276,142.23495,0.90603656,-127.67484,0.90662318,-127.82743,0.42147636,143.04622
8889375000,0.41403368,141.98836,0.90729076,-127.63425,0.90310735,-128.03227,0.42186406,142.93272
8891937500,0.41407523,142.03424,0.90753192,-127.71986,0.9058913,-127.96286,0.42088023,142.93427
8894500000,0.41473794,141.97063,0.90672964,-127.76669,0.90406811,-127.89443,0.42029193,142.87881
8897062500,0.41473696,141.82349,0.91114664,-127.96682,0.90544677,-127.90655,0.42017686,142.86015
8899625000,0.41388068,141.68333,0.90713197,-128.08385,0.90708715,-127.89384,0.41822588,142.8441
8902187500,0.41380131,141.60115,0.90632147,-128.13422,0.90661699,-128.24942,0.4179844,142.74037
8904750000,0.41226408,141.59395,0.90576094,-128.17285,0.90266424,-128.257,0.41814429,142.66412
8907312500,0.41161042,141.61719,0.9037295,-128.01273,0.90944183,-128.38094,0.41877002,142.67987
8909875000,0.41216156,141.59454,0.90560436,-128.00955,0.90803987,-128.19623,0.41851115,142.70576
8912437500,0.4120028,141.50131,0.90637249,-128.16388,0.9070583,-128.29091,0.41763246,142.57156
8915000000,0.41165462,141.39749,0.90590245,-128.28069,0.90809458,-128.38425,0.4172034,142.46301
8917562500,0.41215482,141.23619,0.91031587,-128.3326,0.9098711,-128.3168,0.41753852,142.22417
8920125000,0.4105016,141.23036,0.90817696,-128.33817,0.90996188,-128.58134,0.41642958,142.33165
8922687500,0.41074714,141.23621,0.90845096,-128.26022,0.90736753,-128.50459,0.41671234,142.34343
8925250000,0.41091684,141.23392,0.90681332,-128.49937,0.90592074,-128.47813,0.41479331,142.23839
8927812500,0.40911281,141.10336,0.9071508,-128.51064,0.90754211,-128.62573,0.41482279,142.17862
8930375000,0.40884501,141.23096,0.90786099,-128.4048,0.9082638,-128.6324,0.41607943,142.17688
8932937500,0.40895286,141.01398,0.9058221,-128.51126,0.90883207,-128.60535,0.41452655,142.28879
8935500000,0.40759951,140.94876,0.90808457,-128.72083,0.90933567,-128.74318,0.41313371,142.03651
8938062500,0.40711278,140.90112,0.90889519,-128.71931,0.90964639,-128.8029,0.41467482,142.08002
8940625000,0.40998226,140.99442,0.90833575,-128.69603,0.91226262,-128.95851,0.4129203,141.95622
8943187500,0.40612844,140.7843,0.90891814,-128.77832,0.90987879,-128.97731,0.41152373,141.75346
8945750000,0.40763351,140.58633,0.91082829,-128.82536,0.90867943,-129.12254,0.41260234,141.95325
8948312500,0.40775761,140.47044,0.91181207,-128.78584,0.90980905,-129.20566,0.41168839,141.62839
8950875000,0.40588525,140.65202,0.90612614,-128.80673,0.90889359,-129.07932,0.40898696,141.66826
8953437500,0.40572166,140.46576,0.9099434,-129.22461,0.90933019,-129.29622,0.41089058,141.72481
8956000000,0.40363002,140.59447,0.90927517,-128.96169,0.90845257,-129.01511,0.41164908,141.79553
8958562500,0.40488029,140.55762,0.90716505,-129.09277,0.91178948,-129.27724,0.41149703,141.4794
