!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:45:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8733062500,-0.451704,-0.20004071,-0.1800797,-0.85266328,-0.18272257,-0.85233176,-0.33362547,0.36038545
8735625000,-0.4489902,-0.19832008,-0.18131362,-0.85143477,-0.18210438,-0.85228193,-0.33394468,0.35951874
8738187500,-0.4494136,-0.19873787,-0.18040636,-0.85081846,-0.18411887,-0.85018629,-0.33242911,0.35919353
8740750000,-0.4525792,-0.19870026,-0.18537907,-0.84996164,-0.18527049,-0.85056186,-0.33182225,0.3618235
8743312500,-0.44749665,-0.19931738,-0.18280047,-0.85028601,-0.18196298,-0.85057741,-0.33173189,0.36112908
8745875000,-0.44817051,-0.19763027,-0.18245099,-0.85165578,-0.18239081,-0.85170615,-0.33094126,0.36097986
8748437500,-0.45003575,-0.19982195,-0.18452415,-0.85383159,-0.1892105,-0.85186732,-0.33148852,0.36244977
8751000000,-0.44861415,-0.19758618,-0.18682559,-0.85089177,-0.18546948,-0.85154033,-0.33124441,0.36261222
8753562500,-0.44919768,-0.19723892,-0.18787289,-0.85055602,-0.18771164,-0.8508063,-0.32990742,0.36239296
8756125000,-0.44895121,-0.19724019,-0.18593013,-0.84924001,-0.18816938,-0.84970295,-0.32900703,0.36158347
8758687500,-0.44800147,-0.19686352,-0.186827,-0.84900355,-0.18910475,-0.84799767,-0.32862377,0.36328557
8761250000,-0.44792482,-0.19678712,-0.18901838,-0.84753215,-0.19129135,-0.84952313,-0.32820949,0.36387035
8763812500,-0.4488759,-0.19640563,-0.19399878,-0.84888059,-0.19319569,-0.84785402,-0.32763463,0.36432076
8766375000,-0.44863051,-0.19598223,-0.18929112,-0.84840477,-0.19207008,-0.84862709,-0.32783687,0.36342719
8768937500,-0.44900683,-0.19596402,-0.19349235,-0.85268337,-0.19382027,-0.84769875,-0.32703525,0.36502841
8771500000,-0.44924018,-0.19542469,-0.19323832,-0.85132617,-0.19456683,-0.85008347,-0.32699272,0.36532962
8774062500,-0.44860378,-0.19565487,-0.19120921,-0.84843004,-0.19370124,-0.84917867,-0.32661375,0.3654581
8776625000,-0.44892451,-0.19523431,-0.19165938,-0.85008729,-0.19391803,-0.84822071,-0.32674661,0.36587921
8779187500,-0.44827577,-0.19387177,-0.1922005,-0.85054731,-0.19809921,-0.84916741,-0.32612807,0.36663243
8781750000,-0.44892836,-0.19427261,-0.19497862,-0.84741682,-0.19498049,-0.84742254,-0.32560894,0.36489803
8784312500,-0.44880691,-0.19265737,-0.19434322,-0.85124636,-0.1970727,-0.84904557,-0.32640862,0.36716673
8786875000,-0.44820487,-0.1928338,-0.19728334,-0.84714711,-0.19675709,-0.84727305,-0.32475507,0.36617059
8789437500,-0.45031404,-0.19264515,-0.19728322,-0.84790468,-0.19717805,-0.84989208,-0.32486507,0.36681226
8792000000,-0.44905499,-0.19247125,-0.19908971,-0.84743279,-0.19950634,-0.84874022,-0.32218751,0.3665649
8794562500,-0.44786891,-0.19113319,-0.19799872,-0.84694111,-0.20176217,-0.8473686,-0.32269558,0.36665446
8797125000,-0.44804505,-0.19204925,-0.19781038,-0.84554601,-0.20164864,-0.8482424,-0.32195529,0.36876309
8799687500,-0.44998759,-0.19246927,-0.19854563,-0.84912485,-0.20059083,-0.84617853,-0.32343984,0.36821648
8802250000,-0.44836947,-0.19163568,-0.19951017,-0.84771943,-0.19987193,-0.84693623,-0.32372954,0.36676827
8804812500,-0.45033163,-0.19052592,-0.20095846,-0.84746844,-0.20167257,-0.84710622,-0.32398328,0.36720785
8807375000,-0.44747305,-0.19081452,-0.20243384,-0.84672135,-0.20280313,-0.84643859,-0.32079676,0.37050432
8809937500,-0.44762349,-0.19144127,-0.20113041,-0.84685558,-0.20319626,-0.84780043,-0.32115528,0.36892983
8812500000,-0.44954115,-0.19004107,-0.20113876,-0.84882957,-0.20460312,-0.84609973,-0.32012635,0.36884311
8815062500,-0.44936839,-0.18946558,-0.20435522,-0.8454932,-0.20543121,-0.84423018,-0.32022527,0.36891297
8817625000,-0.44702962,-0.19062984,-0.20248115,-0.84572589,-0.2050519,-0.84572017,-0.31956217,0.36925995
8820187500,-0.44896302,-0.19037116,-0.20325822,-0.84684944,-0.20696983,-0.84745717,-0.31894204,0.37041548
8822750000,-0.44830561,-0.18948889,-0.20351541,-0.84613895,-0.20574288,-0.84656888,-0.3184664,0.36990896
8825312500,-0.44748652,-0.18988909,-0.20613591,-0.8475607,-0.20498176,-0.84699768,-0.31855547,0.37024704
8827875000,-0.44672534,-0.1886714,-0.20490943,-0.84604001,-0.20476927,-0.84280461,-0.31848431,0.37072384
8830437500,-0.44806409,-0.1893992,-0.20693618,-0.84619355,-0.20908079,-0.84840488,-0.31824866,0.37073636
8833000000,-0.44779953,-0.18799628,-0.20451376,-0.84814143,-0.20848478,-0.84547132,-0.31674391,0.3706882
8835562500,-0.44856593,-0.18841462,-0.20793219,-0.84317762,-0.20868771,-0.84753281,-0.31619817,0.37130439
8838125000,-0.44778275,-0.18706417,-0.20952179,-0.84639114,-0.20872194,-0.844612,-0.31596205,0.37120807
8840687500,-0.4490279,-0.18690354,-0.20919019,-0.8462258,-0.21201542,-0.84537858,-0.31610855,0.37196395
8843250000,-0.44838724,-0.18725021,-0.20885812,-0.84377539,-0.21071249,-0.84759271,-0.3159171,0.37147892
8845812500,-0.44749194,-0.18657143,-0.20836203,-0.84396774,-0.21160038,-0.84350926,-0.31500071,0.37233666
8848375000,-0.44778055,-0.18745418,-0.21058249,-0.84574586,-0.21083668,-0.84661829,-0.31389844,0.37304011
8850937500,-0.44798717,-0.18765475,-0.21125481,-0.84504926,-0.21361266,-0.84745973,-0.31307927,0.37257472
8853500000,-0.44719461,-0.18635166,-0.21267271,-0.84687746,-0.21258903,-0.84327924,-0.31296861,0.37425768
8856062500,-0.44836995,-0.1870776,-0.21377401,-0.84637141,-0.21449713,-0.84503049,-0.31245866,0.37405553
8858625000,-0.44647706,-0.18568608,-0.2119344,-0.84809893,-0.21705315,-0.8438645,-0.31268075,0.37600622
